Řádek 1796 | nazev_zakazky: Objednávka zajištění provozu Polytechnických hnízd - výuka polytechniky pro základní školy v prvním pololetí šk. r. 2024/2025 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Střední průmyslová škola dopravní, a.s. | smluvni_cena_bez_dph_kc: 91500.0 | datum_uzavreni_smlouvy: 2024-09-25
Řádek 1811 | nazev_zakazky: Stavba č. 45029 Rek. a dost. Průmyslového paláce; realizace JŘBU na autorský dozor | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: act Řanda Havel Legal advokátní kancelář s.r.o. | smluvni_cena_bez_dph_kc: 100000.0 | datum_uzavreni_smlouvy: 2020-10-05
Řádek 1868 | nazev_zakazky: Produkční zajíštění výstavy Savour | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Vysoká škola uměleckoprůmyslová v Praze | smluvni_cena_bez_dph_kc: 90702.48 | datum_uzavreni_smlouvy: 2025-08-19
Řádek 1912 | nazev_zakazky: Stavba č. 4328 Rajská zahrada - přemostění; Technický dozor investora | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: INFRAM a.s. | smluvni_cena_bez_dph_kc: 1392000.0 | datum_uzavreni_smlouvy: 2023-04-04
Řádek 1922 | nazev_zakazky: Objednávka zapůjčení sluchátek k akci prohlídka stavby Dvoreckého mostu | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Prague Whispers s.r.o. | smluvni_cena_bez_dph_kc: 1576.0 | datum_uzavreni_smlouvy: 2023-08-15
Řádek 1968 | nazev_zakazky: Stavba č. 9515 MO Myslbekova – Prašný most - vyhotovení znaleckého posudku k ocenění nemovitosti | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: TAŤANA HOLOUŠOVÁ | smluvni_cena_bez_dph_kc: 10000.0 | datum_uzavreni_smlouvy: 2022-01-21
Řádek 2011 | nazev_zakazky: Objednávka - Specializované právní činnosti a konzultace v rámci samostatné působnosti hl. m. Prahy ke smlouvě o spolupráci ke změně ÚP č. Z 3207 | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Frank Bold Advokáti, s.r.o. | smluvni_cena_bez_dph_kc: 840000.0 | datum_uzavreni_smlouvy: 2024-01-31
Řádek 2035 | nazev_zakazky: Stavba č. 45029 Rek. a dost. Průmyslového paláce; technická konzultace při výběrovém řízení na správce stavby | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: atelier7 s.r.o. | smluvni_cena_bez_dph_kc: 148000.0 | datum_uzavreni_smlouvy: 2021-11-01
Řádek 2179 | nazev_zakazky: Právní služby k prodeji pozemků v k.ú. Černý Most, Stodůlky, Modřany, Chodov a Libeň – únor 2024 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Besser Karolina, JUDr., advokát | smluvni_cena_bez_dph_kc: 148350.0 | datum_uzavreni_smlouvy: 2024-02-06
Řádek 2232 | nazev_zakazky: Objednávka na vyhotovení GP pro zřízení věcného břemene – umístění mostních náběhů s pilíři na pozemku parc.č. 4536/1 v k. ú. Horní Počernice | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: G S G spol. s r.o. | smluvni_cena_bez_dph_kc: 6800.0 | datum_uzavreni_smlouvy: 2021-08-04
Řádek 2302 | nazev_zakazky: Právní služby k prodeji pozemků v k.ú. Černý Most, Stodůlky a Chodov – březen 2023 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Balcar Petr, JUDr., advokát | smluvni_cena_bez_dph_kc: 147660.0 | datum_uzavreni_smlouvy: 2023-03-06
